hydrometeor,shape,cfmas,pwmas,cfvt,pwvt,dmb0,dmb1
cloud,0.5,524,3,1.26E+07,1.91,2.00E-06,4.00E-05
rain,0.5,524,3,144,0.497,1.00E-04,5.00E-03
pris col,0.179,110.8,2.91,1538,1,1.50E-05,1.25E-04
snow col,0.179,2.74E-03,1.74,27.7,0.484,1.00E-04,1.00E-02
agg,0.5,0.496,2.4,16.1,0.416,1.00E-04,1.00E-02
graupel,0.5,157,3,332,0.786,1.00E-04,5.00E-03
hail,0.5,471,3,152.1,0.497,8.00E-04,1.00E-02
pris hex,0.429,0.8854,2.5,20801,1.377,0,0
pris den,0.3183,3.77E-03,2,56.4,0.695,0,0
pris ndl,0.1803,1.23E-03,1.8,1617.9,0.983,0,0
pris ros,0.5,0.1001,2.256,6239,1.24,0,0
snow hex,0.429,0.8854,2.5,30.08,0.563,0,0
snow den,0.3183,3.77E-03,2,3.39,0.302,0,0
snow ndl,0.1803,1.23E-03,1.8,44.6,0.522,0,0
snow ros,0.5,0.1001,2.256,125.7,0.716,0,0
drizzle,0.5,524,3,1.26E+07,1.91,6.50E-05,1.00E-04
